timestamp,symbol,event,drop_pct,baseline_price,crash_price,volume_ratio
2026-01-29T23:09:09.083666,BTCUSDT,FLASH_CRASH,-5.08,74072.66,70309.15,2.3
2026-02-02T15:31:09.083666,BTCUSDT,FLASH_CRASH,-5.2,146110.61,138514.79,4.41
2026-02-02T19:29:09.083666,BTCUSDT,FLASH_CRASH,-9.87,133468.35,120291.17,2.08
2026-02-14T11:40:09.083666,BTCUSDT,FLASH_CRASH,-5.22,373987.54,354462.18,2.1
2026-02-15T18:36:09.083666,BTCUSDT,FLASH_CRASH,-5.96,450304.35,423480.53,2.05
2026-02-17T11:44:09.083666,BTCUSDT,FLASH_CRASH,-5.72,364235.58,343403.15,3.03
2026-02-21T08:40:09.083666,BTCUSDT,FLASH_CRASH,-5.64,211961.87,199999.66,3.11
2026-03-03T04:06:09.083666,BTCUSDT,FLASH_CRASH,-7.84,211959.0,195341.28,3.59
2026-03-14T09:48:09.083666,BTCUSDT,FLASH_CRASH,-7.84,232651.19,214409.68,3.12
2026-03-14T14:54:09.083666,BTCUSDT,FLASH_CRASH,-5.31,230527.36,218289.77,5.56
2026-03-19T03:38:09.083666,BTCUSDT,FLASH_CRASH,-5.08,251014.23,238275.08,2.17
2026-03-25T23:38:09.083666,BTCUSDT,FLASH_CRASH,-6.88,162017.26,150870.57,2.15
2026-03-28T15:31:09.083666,BTCUSDT,FLASH_CRASH,-5.01,161580.0,153489.2,4.68
2026-04-06T14:39:09.083666,BTCUSDT,FLASH_CRASH,-6.01,212013.52,199273.94,2.78
2026-04-12T03:13:09.083666,BTCUSDT,FLASH_CRASH,-5.37,270961.92,256407.81,4.17
2026-04-13T04:49:09.083666,BTCUSDT,FLASH_CRASH,-5.15,289336.02,274438.87,2.72
2026-04-15T17:50:09.083666,BTCUSDT,FLASH_CRASH,-5.12,296374.68,281192.02,2.06
2026-04-17T12:08:09.083666,BTCUSDT,FLASH_CRASH,-5.23,306452.67,290417.85,2.07
2026-04-23T12:44:09.083666,BTCUSDT,FLASH_CRASH,-5.28,329564.88,312177.04,2.13
2026-04-27T22:53:09.083666,BTCUSDT,FLASH_CRASH,-5.11,334717.13,317608.04,2.66
