time,open,high,low,close,volume,is_fat_finger
0,103.59314117218585,103.76122087186644,103.56970184449045,103.59314117218585,598185,False
1,103.69605353093608,103.69835599132101,103.68175428317927,103.69605353093608,183984,False
2,103.66737860618476,103.81882886491518,103.46454198040875,103.66737860618476,201069,False
3,103.8016669519811,103.8730022114636,103.71958879216264,103.8016669519811,348577,False
4,104.11785302780669,104.30312340163557,104.08603480691615,104.11785302780669,976143,False
5,104.06909393449587,104.20337024113458,103.97490447885767,104.06909393449587,428396,False
6,104.0203610925633,104.0998436014001,104.00638272532721,104.0203610925633,441530,False
7,104.34890166718547,104.40121900001368,104.34103238458668,104.34890166718547,218728,False
8,104.50906360936219,104.65726372394911,104.33568931166671,104.50906360936219,623846,False
9,104.4109349524369,104.49794005811816,104.24016261705843,104.4109349524369,125801,False
10,104.5242333552742,104.59094876578203,104.42305959258347,104.5242333552742,842647,False
11,104.42735659714522,104.43878174350252,104.41578693620565,104.42735659714522,859925,False
12,104.33008674303726,104.33799072188474,104.29967562643321,104.33008674303726,714997,False
13,104.3805746325993,104.52059407301935,104.32286303732833,104.3805746325993,415414,False
14,103.98115604985814,104.05318950082074,103.96517684754505,103.98115604985814,564838,False
15,103.6224381492267,103.7787202518819,103.61792751977615,103.6224381492267,941967,False
16,103.50590693978499,103.62566104616441,103.46298279313673,103.50590693978499,355560,False
17,103.29623893241089,103.29861731327719,103.2236570300836,103.29623893241089,868026,False
18,103.36116006751415,103.43647707782942,103.16422290163686,103.36116006751415,832119,False
19,103.17345122388394,103.20357875331138,103.09877389357041,103.17345122388394,116220,False
20,102.8820267297979,102.92873862474454,102.82932076686673,102.8820267297979,375536,False
21,103.18360456143925,103.28578093446791,103.16799999429139,103.18360456143925,578803,False
22,103.13701173642175,103.19754962338027,102.93454492449375,103.13701173642175,495462,False
23,103.15094105090063,103.18986424123588,103.0874045898936,103.15094105090063,382154,False
24,102.85701281856366,102.93079046506546,102.75171492101703,102.85701281856366,226951,False
25,102.74502565681428,102.8030747377589,102.67161473758165,102.74502565681428,430502,False
26,102.76781914546561,102.81131175822392,102.75206023812177,102.76781914546561,583419,False
27,102.53124894586135,102.56523654378358,102.47089541699462,102.53124894586135,248306,False
28,102.60829051995628,102.62283687239838,102.53355626273483,102.60829051995628,982622,False
29,102.48502950157085,102.60128814831899,102.40020182295312,102.48502950157085,740083,False
30,102.42524101646488,102.55120093780738,102.3259673399282,102.42524101646488,542667,False
31,102.30198112690728,102.52916147875415,102.2734507782899,102.30198112690728,225223,False
32,102.68096458265411,102.68187106440686,102.47014616816415,102.68096458265411,622886,False
33,102.67819276654356,102.78563059393369,102.64176577594051,102.67819276654356,699493,False
34,102.46098507323433,102.4639669653976,102.44978193007395,102.46098507323433,515000,False
35,102.62954259715647,102.73113149061997,102.49655245749543,102.62954259715647,101082,False
36,102.37895334639813,102.4419356167495,102.32096334488354,102.37895334639813,504364,False
37,102.42171981889564,102.43492189501627,102.19220844152227,102.42171981889564,258566,False
38,102.0202942501647,102.055047885399,102.01971928109947,102.0202942501647,961525,False
39,101.74929038710953,101.87169965237321,101.66158608483903,101.74929038710953,414096,False
40,101.78935136921835,101.86828124804583,101.65260040088121,101.78935136921835,136719,False
41,101.93968743758951,102.0229587030814,101.86316204869242,101.93968743758951,148737,False
42,101.97462589563197,102.01809447223013,101.9348400935574,101.97462589563197,552669,False
43,101.95103951496795,101.99201557024868,101.83033759093622,101.95103951496795,207271,False
44,101.8896438454337,101.96320443170394,101.81914320943511,101.8896438454337,794896,False
45,101.58835168740134,101.67424729019736,101.48718051685529,101.58835168740134,281676,False
46,101.44209611419626,101.5588782476454,101.42590511902281,101.44209611419626,544049,False
47,101.348639789241,101.40472243424503,101.16965299312592,101.348639789241,692127,False
48,101.56291558867753,101.60023087909055,101.27995623401756,101.56291558867753,934363,False
49,101.63271333935386,101.65341868015754,101.47636864282042,101.63271333935386,402069,False
50,101.27434822992235,101.45730198172393,101.22568401398463,101.27434822992235,282075,False
51,101.3399910154668,101.37553200877396,101.10478049135902,101.3399910154668,542113,False
52,101.26194254579158,101.36826699484939,101.20083318700856,101.26194254579158,187745,False
53,101.12484967238566,101.15912003431075,101.033033798595,101.12484967238566,226298,False
54,101.24856101790004,101.28239185249025,101.24458465208478,101.24856101790004,717997,False
55,101.45733545402577,101.59375996147365,101.38005822351484,101.45733545402577,404431,False
56,101.64630585291945,101.66781424992335,101.56235066419681,101.64630585291945,846086,False
57,101.47569913083422,101.48494365496448,101.3615120894336,101.47569913083422,526228,False
58,101.41294404679539,101.59615004635069,101.30204571821528,101.41294404679539,731540,False
59,101.48013284646274,101.56742531546777,101.44549667792755,101.48013284646274,797143,False
60,101.67812974465893,101.9114575232443,101.62377834977576,101.67812974465893,471467,False
61,101.58068666400708,101.6191664977089,101.51338310523242,101.58068666400708,561531,False
62,101.54296793133737,101.58133383183146,101.52861938965187,101.54296793133737,839126,False
63,101.31828685776375,101.37837591040751,101.23374396797885,101.31828685776375,539707,False
64,101.07589164600424,101.10770086664692,100.90032858930033,101.07589164600424,320013,False
65,101.24014518997204,101.28803693462861,101.13160987613897,101.24014518997204,551800,False
66,101.51475706478196,101.60990961710135,101.38255026045256,101.51475706478196,899235,False
67,101.50013688478509,101.59943672277309,101.42514622038122,101.50013688478509,280697,False
68,101.70385433779394,101.8469293730362,101.573639607657,101.70385433779394,743107,False
69,101.77741389302344,101.81419783037373,101.73218062182178,101.77741389302344,979793,False
70,101.64609665247342,101.70792074555266,101.63159641006656,101.64609665247342,113698,False
71,101.719565557768,101.7420397086216,101.71396665275418,101.719565557768,115376,False
